id,address,beds,baths,area,price,zestimate,best_deal,Lat,Long,Neighborhood_Geopy,pricem
2060505616,"47-55 Lagrange St #4F, Boston, MA 02116",0.0,1.0,455,"$3,200/mo",0,3200.0,42.3516,-71.0643,No Details,3200
2060511224,"11 Bay State Rd #U, Boston, MA 02215",2.0,1.0,,"$3,200/mo",0,3200.0,42.3502,-71.0933,Fenway/Kenmore,3200
2114513505,"13 Bay State Rd, Boston, MA 02215",2.0,1.0,,"$3,200/mo",0,3200.0,42.3502,-71.0934,Fenway/Kenmore,3200
2070487043,"19 Bay State Rd, Boston, MA 02215",2.0,1.0,,"$3,200/mo",0,3200.0,42.3501,-71.0937,Fenway/Kenmore,3200
2066682841,"The Rise at Longwood, 198 Hillside St, Roxbury Crossing, MA 02120",2.0,1.0,750.0,"$3,200+/mo",0,3200.0,42.3319,-71.1092,Mission Hill,3200
2060511233,"17 Bay State Rd #U, Boston, MA 02215",2.0,1.0,,"$3,200/mo",0,3200.0,42.3502,-71.0936,Fenway/Kenmore,3200
2060511232,"15 Bay State Rd #U, Boston, MA 02215",2.0,1.0,,"$3,200/mo",0,3200.0,42.3502,-71.0935,Fenway/Kenmore,3200
2103784288,"27 Bay State Rd, Boston, MA 02215",2.0,1.0,1200,"$3,200/mo",0,3200.0,42.3502,-71.0941,Fenway/Kenmore,3200
2060510950,"29 Bay State Rd #U, Boston, MA 02215",2.0,1.0,,"$3,200/mo",0,3200.0,42.3502,-71.0942,Fenway/Kenmore,3200
2060510941,"21 Bay State Rd #U, Boston, MA 02215",2.0,1.0,,"$3,200/mo",0,3200.0,42.3502,-71.0939,Fenway/Kenmore,3200
2085312158,"2 bed, 1.0 bath, $3,200, 9 Bay State Rd #4R, Boston, MA 02215",2.0,1.0,,"$3,200/mo",0,3200.0,42.3502,-71.0933,Fenway/Kenmore,3200
2106368076,"131 Park Dr, Boston, MA 02215",2.0,1.0,612,"$3,200/mo",0,3200.0,42.3419,-71.0979,Fenway/Kenmore,3200
2060512023,"2 Howe Ter APT 6A, Dorchester, MA 02125",3.0,1.5,,"$3,250/mo",0,3250.0,42.3107,-71.0644,Dorchester,3250
2081514060,"719 Parker St APT 1A, Roxbury Crossing, MA 02120",3.0,1.0,1100,"$3,300/mo",0,3300.0,42.3313,-71.0975,Mission Hill,3300
2077958745,"1080 Boylston St #3, Boston, MA 02215",1.0,1.0,,"$3,300/mo",0,3300.0,42.347,-71.088,Fenway/Kenmore,3300
59094912,"22 Sutherland Rd, Brighton, MA 02135",1.0,1.0,1000,"$3,300/mo",0,3300.0,42.3372,-71.1504,Brighton,3300
2060615433,"7 Bentham Rd #2A, Dorchester, MA 02122",4.0,1.5,,"$3,350/mo",0,3350.0,42.3034,-71.0632,Dorchester,3350
2095889213,"839 Parker St APT 2A, Roxbury Crossing, MA 02120",3.0,1.0,1100,"$3,350/mo",0,3350.0,42.3278,-71.0997,Mission Hill,3350
2060513118,"1137 Commonwealth Ave #4A, Allston, MA 02134",3.0,1.5,1400,"$3,375/mo",0,3375.0,42.3507,-71.1264,Allston,3375
2088229894,"590 Walk Hill St #1, Boston, MA 02126",4.0,1.0,1600,"$3,400/mo",0,3400.0,42.2815,-71.0978,Mattapan,3400
2060512030,"1173 Adams St #202A, Dorchester Center, MA 02124",2.0,2.0,,"$3,400/mo",0,3400.0,42.2728,-71.0661,Dorchester,3400
2104036478,"157 M St #3, Boston, MA 02127",2.0,1.0,1000,"$3,400/mo",0,3400.0,42.3325,-71.0335,South Boston,3400
2100058993,"(undisclosed Address), Boston, MA 02120",2.0,1.0,950,"$3,400/mo",0,3400.0,,,No Details,3400
2060629674,"39 Melville Ave #2A, Dorchester Center, MA 02124",3.0,1.0,,"$3,400/mo",0,3400.0,42.2943,-71.0668,Dorchester,3400
2101929040,"29 Litchfield St, Brighton, MA 02135",3.0,1.0,755,"$3,525/mo",0,3525.0,42.3591,-71.141,Brighton,3525
2060519270,"14 Edgerly Rd APT 14D, Boston, MA 02115",1.0,1.0,450,"$3,552/mo",0,3552.0,42.3461,-71.0879,Fenway/Kenmore,3552
2067752147,"15 Edgerly Rd #14, Boston, MA 02115",1.0,1.0,450,"$3,552/mo",0,3552.0,42.346,-71.0882,Fenway/Kenmore,3552
2103360434,"52 Charlesgate E, Boston, MA 02215",2.0,1.0,580,"$3,600/mo",0,3600.0,42.3471,-71.0906,Fenway/Kenmore,3600
2060784323,"Mercantile Wharf Building, 111 Atlantic Ave, Boston, MA 02109",2.0,1.5,1200,"$3,700+/mo",0,3700.0,42.3614,-71.0526,North End,3700
2061871826,"527 Massachusetts Ave APT 2A, Boston, MA 02118",2.0,1.0,1000,"$3,700/mo",0,3700.0,42.3385,-71.0801,South End,3700
2080050349,"4 bed, 2.0 bath, $3,800, 187 Harvard Ave #3, Allston, MA 02134",4.0,2.0,,"$3,800/mo",0,3800.0,42.3509,-71.1315,Allston,3800
239892530,"488 Dorchester Ave, South Boston, MA 02127",2.0,2.0,1010,"$3,800/mo",0,3800.0,42.332,-71.0567,South Boston,3800
2060515856,"189 Harvard Ave #33, Allston, MA 02134",4.0,2.0,,"$3,800/mo",0,3800.0,42.3509,-71.1313,Allston,3800
2060525301,"77 Brighton Ave #2F, Allston, MA 02134",2.0,1.0,783,"$3,819/mo",0,3819.0,42.3529,-71.129,Allston,3819
